Date,Title,Text,Category,site
"October 9, 2023",Apex Group Launches Expanded ESG & Sustainability Services,"Financial services and solutions provider Apex Group announced today an expansion of its ESG & Sustainability solutions, with the launch of an enhanced set of ESG solutions targeting investors, asset managers and corporates.
The expanded offering follows Apex’s completion earlier this year of asset management service provider MJ Hudson’s Data & Analytics business, which included the firm’s ESG & Sustainability advisory services and platforms.
According to Apex, with the new offerings, the firm will provide ESG and sustainability services supporting clients through the investment lifecycle, including ESG policy and implementation, helping clients ensure they comply with sustainability regulations, streamlined data collection and verification for ESG assessment and reporting, and consulting services and technical expertise across a broad range of sustainability topics.
Apex said that it has also enhanced its Impact Solutions, supporting impact investors and clients looking to show the impact of their investments, strengthened its Carbon and Climate services encompassing carbon emissions monitoring, and launched a new Nature Solutions offering aimed at identifying and assessing nature-related risks and opportunities.
The expanded offering will be delivered by a global team of over 150 experts, and led by Emma Bickerstaffe, who joined Apex from MJ Hudson, where she had been serving as Managing Director, ESG & Sustainability. Prior to joining MJ Hudson in 2021, Bickerstaffe served as Managing Director of The Big Exchange, a partnership between asset managers including Standard Life Aberdeen, Columbia Threadneedle and AllianceBernstein offering impact funds to retail investors.
Bickerstaffe said:
“We are at an exciting juncture in the evolution of Apex Group’s ESG offering by combining the power of a proprietary technology platform with operational excellence and deep advisory experience. Our mission is to positively impact business today for a sustainable tomorrow, and with a passionate team and the global footprint of Apex Group we know we are well equipped to drive change and address the challenges facing the world today.”","ESG TOOLS, SERVICES",ESGTODAY
"October 9, 2023",LyondellBasell Nears 2030 Renewables Goal with Lightsource bp Solar Deal,"Plastics, chemicals, and refining company LyondellBasell announced a 10-year power purchase agreement (PPA) with solar developer Lightsource bp for the delivery of approximately 284,000 MWh of renewable electricity annually in Spain.
Under the new agreement, LyondellBasell will secure 149 MW of capacity from Lightsource bp’s solar project in Spain, beginning in 2026, with the energy delivered roughly equal to the annual electricity consumption of approximately 78,000 European homes.
According to LyondellBasell, the agreement will bring the company to reach 78% of its goal to procure at least 50% of electricity from renewable sources by 2030. The target was first announced in 2021, together with other climate commitments, including goals to reduce absolute Scope 1 and 2 emissions by 30% by 2030, and reach net zero emissions across its global operations by 2050. In December 2022, the company raised its Scope 1 and 2 target to a 42% reduction by 2030, and introduced a goal to reduce Scope 3 emissions by 30% by 2030.
Chris Cain, LyondellBasell Senior Vice President for Net Zero Transition Strategy, said:
“We are taking decisive steps to reduce our absolute scope 1 and 2 greenhouse gas emissions, while creating solutions for everyday sustainable living. Solar power purchase agreements accelerate the development of clean energy and are a critical lever in our emissions reduction efforts.”
Lightsource bp is a joint venture between energy company bp and Lightsource bp management. The company has developed 8.4 GW of solar power to date, and the new agreement marks the company’s first cross border corporate PPA signed in Spain.
Zosia Riesner, Director of Power Markets for Europe at Lightsource bp, said:
“We are delighted to have been selected by LyondellBasell as a partner on their greenhouse gas emission reduction journey. We take immense pride in our ability to offer tailored and customized solutions to our customers while leveraging Lightsource bp’s global reach to offer additionality and innovative structures through our contracts. Our continued investment in growing our pipeline of projects across Spain provides exciting opportunities for collaborations like this in the near future.”",COMPANIES/ ENERGY TRANSITION,ESGTODAY
"October 9, 2023","EU Adopts Laws to Double Renewable Energy Share, Decarbonize Aviation","The European Council today announced the adoption of two pieces of legislation today, including a directive to nearly double the share of renewable energy consumption in the EU by 2030, and a law aimed at decarbonizing the aviation sector by accelerating the adoption of sustainable aviation fuel (SAF).
The Council’s adoption of the new rules marks the last major step in the completion of two of the final pieces of the European Commission’s “Fit for 55” roadmap – the EU’s proposed strategy to cut greenhouse gas (GHG) emissions by 55% by 2030, compared to 1990 levels.
Following the EU Council’s announcements, EU Commission President Ursula von der Leyen said:
“The European Green Deal is delivering the change we need to reduce CO² emissions. It does so while keeping the interests of our citizens in mind, and providing opportunities for our European industry. The legislation to reduce our greenhouse gas emissions by at least 55% by 2030 is now in place, and I am very happy that we are even on track to overshoot this ambition.”
One of the key pieces of legislation adopted by Council included the Renewables Energy Directive, which mandates that renewable energy make up 42.5% of the EU’s overall energy consumption by 2030, while also directing EU Member States to endeavor to collectively achieve an indicative renewable energy target of 45%. Renewable energy accounted for approximately 22% of the EU energy mix in 2021.
The legislation significantly raises the EU’s renewable energy goal from its current 2030 target of 32%, and even above the initial 40% goal proposed by the European Commission’s “Fit for 55” roadmap, the EU’s proposed strategy to cut greenhouse gas (GHG) emissions by 55% by 2030, compared to 1990 levels. That target was raised to the 45% goal in May 2022 with the EU’s REPowerEU Plan, as part of the strategy to rapidly reduce reliance on Russian fossil fuels in response to the Russian invasion of Ukraine.
The Renewable Energy Directive also includes a series of sector-specific sub-targets aimed at accelerating the adoption of renewables in industries in which adoption has been slower, including transport, industry, buildings and district heating and cooling. Sector targets under the legislation include reaching at least a 49% renewable energy share in buildings by 2030, as well as measures to gradually increase renewable targets for cooling and heating, a 14.5% reduction in transport sector emissions by 2030 through increased renewables deployment, requirements for industry to increase the use of renewable energy annually by 1.6% and for 42% of the hydrogen used in industry to come from renewable fuels of non-biological origin (RFNBOs) by 2030, and 60% by 2035.
Teresa Ribera, Spanish acting Minister for the Ecological Transition, said:
“This is a great achievement in the framework of the ´Fit for 55´package which will help reaching the EU’s climate goal of reducing EU emissions by at least 55% by 2030. It is a step forward which will contribute to reach the EU´s climate targets in a fair, cost-effective and competitive way.”
The Council also adopted the “ReFuelEU aviation” law, aimed at increasing both the demand and supply of sustainable aviation fuel, with rules including minimum blends of SAF for fuel suppliers, as well as requirements for aircraft operators and airports.
Fuel accounts for the vast majority of the aviation sector’s emissions. Generally produced from sustainable resources, like waste oils and agricultural residues, SAF is seen as one of the key tools to help decarbonize the aviation industry in the near- to medium-term. SAF producers estimate the fuels can result in lifecycle GHG emissions reductions of as much as 85% relative to conventional fuels. Efforts to meaningfully increase the use of SAF by airlines face significant challenges, however, including the low supply currently available on the market, and prices well above those of conventional fossil-based fuels.
For aviation fuel suppliers, the new rules will require a minimum share of SAF at EU airports, starting a 2% in 2025, and increasing over time to reach 70% by 2050, as well as a minimum share of synthetic fuels starting in 2030 and also increasing through 2050.
Rules for aircraft operators include a requirement for flights departing EU airports to refuel only with the fuel necessary for the flight, and to ensure that the yearly amount of aviation fuel uplifted at EU airports is equal to at least 90% of the yearly aviation fuel required. According to the European Council, the rules are aimed at avoiding emissions related to extra weight from unnecessary fuel, and to avoid carbon leakage through “tankering,” in which airlines would deliberately carry excess fuel to avoid refueling at airports with higher SAF requirements.
The new law also requires the creation of a labelling scheme about aircraft operators’ environmental performance using SAF, aimed at enabling consumers to make informed choices and at promoting greener flights. Several airlines have been accused or charged with greenwashing over unclear or misleading SAF-related claims over the past few months.
Raquel Sánchez Jiménez, Spanish acting minister of transport, mobility and urban agenda, said:
“The new law will provide legal certainty to aircraft operators and fuel suppliers in Europe. By kick-starting the large-scale production of sustainable aviation fuels, it will soon make the EU’s aviation sector much greener. This is a key step in our broader effort to reach our climate targets at European and global level.”
With the Council’s adoption, the new laws will now be published in the EU’s Official Journal for subsequent entry into force.
Von der Leyen added:
“This is an important sign to Europe and to our global partners that the green transition is possible, that Europe is delivering on its promises.”",ENERGY TRANSITION/ ENVIRONMENT/ GOVERNMENT,ESGTODAY
"October 9, 2023","California Governor Signs Climate Disclosure Bills, but Pushes Back on Timeline and Cost","California Governor Gavin Newsom signed two new landmark climate-related disclosure bills on Saturday, which will require large companies to disclose their value chain emissions and report on climate-related financial risks, but has signaled that the bills’ timelines will be pushed out and cost impacts on businesses addressed before the new laws are implemented.
Both bills, SB 253, the “Climate Corporate Data Accountability Act” and SB 261, “Greenhouse gases: climate-related financial risk,” passed in the California Assembly in September. Newsom announced a week later that he intended to sign the bills into law, but that some “modest cleanup on some little language” would be required.
SB 253 requires companies with revenues greater than $1 billion that do business in California to report annually on their emissions from all scopes, including direct emissions (Scope 1), emissions from purchase and use of electricity (Scope 2), and indirect emissions, including those associated with supply chains, business travel, employee commuting, procurement, waste, and water usage (Scope 3).
As passed in the Assembly, SB 253’s disclosure obligations would begin in 2026 for Scope 1 and 2 emissions, and in 2027 for Scope 3 emissions, with measurement and reporting to be performed according to the Greenhouse Gas Protocol standards. The law would also require companies to obtain third party assurance for their emissions reporting, starting with a limited assurance level beginning in 2026 for Scope 1 and 2 emissions, and at a more stringent reasonable assurance level in 2030, and at a limited assurance level for Scope 3 in 2030.
In a statement released by Newsom announcing the signing of the bill, the governor warned that SB 253’s implementation deadlines “are likely infeasible,” and also expressed concern that the new rules’ reporting protocol “could result in inconsistent reporting across businesses.” Newsom said that his administration would work with the authors of the bill to address these issues.
Newsom added that he was “concerned about the overall financial impact of this bill on businesses,” and instructed the California Air Resources Board (CARB), the agency directed by the bill to develop and adopt the reporting regulations, to “monitor the cost impact as it implements this new bill and to make recommendations to streamline the program.”
Newsom’s statement follows recent comments by the U.S. Securities and Exchange Commission (SEC) Chair Gary Gensler in his testimony to the House Financial Services Committee that the Commission, which has released plans for their own climate-related disclosure rules for public companies, has received comments from companies and investors concerned about the requirements to report on Scope 3 emissions, particularly on the impact on smaller businesses that would be required to track and report on their emissions, even if not technically covered by the rules, as well as on the early stage of development and current unreliability of Scope 3 reporting.
SB 261 applies to U.S. companies that do business in California and with revenues greater that $500 million to prepare a report disclosing their climate-related financial risk, in accordance with the TCFD framework, as well as measures to reduce and adapt to that risk. Prior to approval in the Assembly, the bill was amended to move the date of first disclosures to 2026 from 2024, and to require reporting every two years instead of annually.
In his statement on signing SB 261, however, Newsom warned that the implementation deadline would not provide CARB “with sufficient time to adequately carry out the requirements” of the bill. Newsom also again warned about the cost impact of the bill on businesses, and directed CARB to monitor the costs and make streamlining recommendations for this law as well.",ESG REPORTING/ GOVERNMENT,ESGTODAY
"October 6, 2023",EU Lawmakers Agree on Rules Eliminating 500 Million Tonnes of GHG Emissions,"Lawmakers in the European Parliament and Council announced that they have reached a provisional agreement on new legislation that will result in a massive reduction in greenhouse gas (GHG) emissions from fluorinated gases (F-gases) and ozone-depleting substances (ODS).
According to a statement by the European Commission welcoming the agreement, the proposed legislation would prevent nearly 500 million tonnes of GHG emissions by 2050, and contribute to European climate goals to achieve a 55% emissions reduction by 2030, and reach climate neutrality by 2050.
Fluorinated gases and ODSs are used in a range of industrial applications, and are found in appliances including refrigeration, air conditioning and heat pump equipment. The substances are highly potent greenhouse gases, with global warming potential thousands, or even tens of thousands of times of stronger than CO2.
According to the EU Commission, the proposed new rules come as demand for equipment using the gases is rising rapidly, driven by increasing temperatures and higher living standards.
The new rules would see consumption hydrofluorocarbons (HFCs), which account for around 90% of F-gas emissions, completely phased out by 2050, and reduced by 95% by 2030, on a 2015 basis. The agreement also includes a ban on placing several categories of products and equipment containing HFCs, such as certain domestic refrigerators, chillers, foams and aerosols on the market, with restrictions allowing F-gases to be used in new equipment only if no suitable alternatives are available or only if the most climate-friendly F-gases are used. The rules also an export ban to ensure that obsolete equipment containing high global warming potential gases are not exported to countries outside the EU, as well as providing incentives for the use of climate-friendly alternatives.
Following the provisional agreement, the new rules will be forwarded to the Council and Parliament’s environment committee for endorsement, and then for formal adoption by each institution.
Maroš Šefčovič, Executive Vice-President for European Green deal, Interinstitutional Relations and Foresight, said:
“This is excellent news for Europe and for the world. With F-gases used for air conditioning and refrigeration and demand in this area projected to grow, it is essential that we make sure these technologies do not exacerbate global warming and that climate-friendly alternatives are incentivised.”",ENVIRONMENT/ GOVERNMENT,ESGTODAY
"October 6, 2023",EU Parliament Adopts European Green Bond Standard,"Lawmakers in the European Parliament voted 418-79 on Thursday to approve the adoption of a new European Green Bond (EuGB) label, aimed at fighting greenwashing and providing investors with confidence that their investments are being appropriately directed towards financing sustainable business activities and technologies.
Under the new standard, companies issuing bonds under the voluntary EuGB designation will be required to follow a strict set of investment and transparency criteria, including disclosures on how the proceeds from the bonds will be used, as well as committing to a green transition plan, and reporting on how the investments contribute to the those plans.
Green bond issuance volumes have surged over the past several years as companies and governments have increasingly used them to finance their environmental sustainability and transition initiatives. Despite slower volumes last year amidst a broader issuance market pullback, issuances have rebounded, reaching record volumes in the first half of this year, with particular strength in the European market, which accounted for nearly 60% of the global market, according to Moody’s Investors Service.
The European Commission launched its EuGB regulation proposal in July 2021, aimed at establishing a “gold standard” for green bonds, and forming part of a series of initiatives designed to promote a more sustainable financial system and help facilitate the necessary investments to advance the EU’s and global climate goals.
In May 2022, the EU Parliament’s Economic and Monetary Affairs Committee unveiled a series of amendments to significantly widen the scope of the new regulations, with rules covering the entire green bond market. The proposals met resistance from industry groups, including the International Capital Markets Association (ICMA), which warned that the stricter regulations could push issuers to turn to other markets and other sources of finance resulting in market contraction and loss of EU sustainable bond leadership, and fragmentation of the international green bond market with the EU following different rules from an international market.
The rules adopted Thursday followed an agreement in March 2023 between the EU Parliament and Council, establishing the EuGB standard as voluntary, while also including a voluntary framework for sustainability-linked bonds and green bonds not issued with the EuGB designation. The agreed text also confirmed that while all proceeds under the new designation will need to be invested in economic activities that are aligned with the EU Taxonomy, it added flexibility enabling 15% to be invested in economic activities that comply with the taxonomy requirements , but in sectors that don’t yet have established taxonomy criteria, with issuers clearly explaining where these funds will be allocated.
In addition to the requirements for issuers, the rules adopted by Parliament set out rules to regulate external reviewers of green bonds, including the establishment of a registration system and supervisory framework, and requiring external reviewers to identify, address and disclose potential conflicts of interest.
European Parliament rapporteur on the green bond rules Paul Tang said:
“Today’s vote is the starting shot for business to get serious about their green bond issuances. Investors are eager to invest in European Green Bonds and from today onwards business can start developing them. This way European Green Bonds can boost Europe’s transition to a sustainable economy.”",GOVERNMENT/ SUSTAINABLE FINANCE,ESGTODAY
"October 5, 2023",BlackRock Launches Climate Transition-Focused Private Debt Fund,"Investment giant BlackRock announced today the launch of a new Climate Transition-Oriented Private Debt Fund, aimed at providing investors with exposure to middle market companies, with a focus on low-carbon transition investment opportunities.
According to the firm, the launch of the new strategy comes in response to client demand for transition-oriented solutions, with a recent BlackRock survey indicating that 98% of investors have set a transition investment objective for their portfolios, and three quarters of institutional investors have set net zero objectives.
BlackRock has also identified the transition to a low-carbon economy as one of its key “mega forces” that the investment manager anticipates will create significant profitability shifts across economies and sectors, including massive reallocations of capital.
James Keenan, Chief Investment Officer and Global Head of Private Debt for BlackRock, said:
“We are harnessing the breadth and experience of our global platform to deliver a quality credit portfolio that focuses on income. The strategy focuses on the transition to a low-carbon economy as one of several mega forces driving investment opportunities.”
Launched within BlackRock’s Global Private Debt platform, the new fund is predominately focused on European and U.S. middle market direct lending, with investments aimed at accelerating borrowers’ climate transition agenda by providing support and resources. The fund utilizes a proprietary Climate Transition Rating Framework, enabling borrower selection on companies at a variety of stages of transitioning to net zero emissions, with selection criteria focused on borrowers’ climate transition characteristics.
BlackRock added that it will actively engage with portfolio companies to support the implementation and delivery of their carbon reporting and decarbonization targets.
Sonia Rocher, Portfolio Manager and Sustainability Investing Lead for BlackRock’s Global Private Debt platform, said:
“The new fund is designed to respond to client demand for transition-oriented private debt strategies by investing in mid-sized firms with carbon emissions reduction goals or companies providing climate solutions. It supports them in their carbon reporting and achievement of their roadmap to reduce emissions. We are pleased to offer investors all the benefits of a traditional private debt portfolio with the additional selectivity to consider the transition.”",ENVIRONMENT/ INVESTORS/ NEW FUNDS & PRODUCTS,ESGTODAY
"October 5, 2023",Mirova Launches $2 Billion Energy Transition Infrastructure Fund,"Sustainability-focused investment manager Mirova announced the launch of Mirova Energy Transition 6 (MET6), a new investment fund focused on energy transition infrastructure, and supporting decarbonization in Europe.
The launch follows Mirova’s announcement last year that its prior energy transition fund, MET 5 succeeded in raising €1.6 billion in less than 18 months, significantly surpassing the firm’s initial €1 billion target. For the new fund, Mirova aims to exceed this level, targeting €2 billion in commitments.
The company said the that fund will aim to finance proven technologies such as onshore and offshore wind power, photovoltaics, hydropower, storage and energy efficiency while continuing to support the development of low-carbon electric mobility and hydrogen.
The MET6 team will seek to identify project promoters and provide them with the financial resources to support their development phase, throughout the projects’ entire life cycles. The company said MET6 will retain flexible investment approaches, taking majority or minority stakes and equity financing or subordinated debt.
While the fund’s core deployment target remains Europe, part of the investments could be made in other OECD member countries. By duplicating proven models, Mirova aims to extend the partnerships forged with European developers in new regions, notably in Asia.
Mirova’s Energy Transition Infrastructure team manages €3.5 billion and has financed over 1,000 projects in 48 countries in Europe, Asia and Africa. The new strategywill be supported by Mirova’s Singapore office in both its fundraising and deployment.
Raphaël Lance, Managing Director of Energy Transition Funds at Mirova, said:
“We are proud to continue our investments with this new vintage, and to offer it to institutional investors wishing to contribute to the fight against global warming. MET6 will provide substantial capital to finance and support the development of innovative players across the clean energy value chain and help accelerate decarbonization in Europe.”",ENERGY TRANSITION/ NEW FUNDS & PRODUCTS/ PRIVATE EQUITY,ESGTODAY
"October 5, 2023",Coca-Cola Launches 100% Recycled Plastic Bottles in India,"Coca-Cola India announced the launch of Coca-Cola in 100% recycled plastic (rPET) bottles in its smaller pack sizes, including 250 ml and 750 ml bottles.
The new recycled plastic bottles are manufactured by Coca-Colabottling partners Moon Beverages Ltd., and SLMG Beverages Ltd., and are made from 100% food-grade rPET, excluding caps and labels. The bottles also a carry a “Recycle Me Again” call to action and a “100% recycled PET bottle” display aimed at driving consumer awareness.
The announcement follows the launch in June of Coca-Cola India’s 100% recycled one-liter bottle for its packaged drinking water brand, Kinley.
The Coca-Cola Company now offers 100% recycled plastic bottles in over 40 markets, bringing it closer to its World Without Waste goal of making bottles with 50% recycled content by 2030. Announced in 2018, the sustainable packaging platform also includes a goal to collect and recycle the equivalent of a bottle or can for every one the company sells globally by 2030, and to make 100% of its packaging recyclable by 2025.
Enrique Ackermann, Vice President, Technical and Innovation, Coca-Cola India, and Southwest Asia, said:
“We seek to drive a circular economy for our packaging in order to reduce waste and carbon emissions. We’re working to increase recycled content in our packaging, expand our use of refillable bottles, and to collect packaging for recycling through our World Without Waste initiative. We also do research for new solutions for packaging. This expansion by Moon Beverages and SLMG Beverages underscores Coca-Cola India’s steadfast commitment to sustainability and its dedication to forging a more sustainable future.”
Coca-Cola offers drop-off points or Reverse Vending Machines to make it easier for consumers to recycle bottles. Earlier this year, Coca-Cola India launched a ‘Return and Recycle’ initiative with Zepto that focuses on gathering PET bottles directly from consumers. This program helps to establish an organized process of collecting PET bottles with 100% traceability. Specifically for India, Coca-Cola introduced ASSP (Affordable Small Sparkling Pack) for the 250 ml PET bottle which is used to reduce plastic usage in PET production for sparkling products by up to 40 percent.  
Sanjeev Agarwal, Chairman of Moon Beverages  said:
“PET plastic bottles have value beyond their first life. Our new bottles made with food-grade rPET are recyclable and can become another bottle giving it another life. Recycled PET is a big move in the right direction to embrace plastic circularity in India.”",COMPANIES/ ENVIRONMENT,ESGTODAY
"October 5, 2023",Aviva Hires Leah Ramoutar as Environmental Sustainability Director,"UK-based insurance, wealth & retirement company Avivaannounced today the appointment of Leah Ramoutar as Environmental Sustainability Director.
Ramoutar will join Aviva later this month, after more than 14 years at Phoenix Group, where she is currently serving as Head of Climate and Nature Risk. Prior to her current role she served at Phoenix as Head of TCFD & Group Sustainability Lead. Ramoutar isa Fellow Chartered Accountant with more than 20 years experience across advisory, corporate finance, investment management and sustainability.
Claudine Blamey, Group Sustainability Director at Aviva said:
“Leah is a brilliant addition to Aviva. As Environmental Sustainability Director she will be instrumental in delivering our ambitious climate agenda to be net zero by 2040. Sustainability is central to Aviva’s strategy and with recent global weather events showing how urgently we all need to take action to be climate ready it’s fantastic to bring Leah’s skills and experience to the business.”
As Environmental Sustainability Director, Ramoutar will lead Aviva’s Client Center of Excellence and Environment Hub, delivering the company’s climate change and environment agenda.
Ramoutar said:
“Aviva is known for having a market-leading approach to sustainability and a strong track record on climate action. This role is an exciting opportunity for me to contribute to the important work already underway to meet Aviva’s commitments and I look forward to joining later this year.”",COMPANIES/ EXECUTIVE MOVES,ESGTODAY
